,City,Total Price,Rupee_per_area(sq-feet),Area,Apartement
37199,Lucknow,49.0,4000.0,1225,2.0
37200,Ghaziabad,57.25,5000.0,1145,2.0
37201,Ghaziabad,2.06,8300.0,2485,3.0
37202,Greater Noida,53.12,4660.0,1140,2.0
37203,Greater Noida,47.31,3850.0,1229,2.0
37204,Greater Noida,78.75,4716.0,1670,3.0
37206,Greater Noida,71.89,4424.0,1625,3.0
37207,Ghaziabad,17.03,4518.0,377,1.0
37208,Ghaziabad,28.8,2400.0,1200,2.0
37209,Ghaziabad,98.0,4900.0,2000,3.0
37211,Greater Noida,51.89,4850.0,1070,2.0
37212,Greater Noida,78.72,4700.0,1675,3.0
37213,Greater Noida,67.7,4299.0,1575,3.0
37214,Greater Noida,76.21,5293.0,1440,3.0
37216,Greater Noida,37.39,3800.0,984,2.0
37217,Noida,3.87,11000.0,3525,4.0
37219,Lucknow,49.0,4000.0,1225,2.0
37220,Ghaziabad,57.25,5000.0,1145,2.0
37221,Ghaziabad,2.06,8300.0,2485,3.0
37222,Greater Noida,53.12,4660.0,1140,2.0
37223,Greater Noida,47.31,3850.0,1229,2.0
37224,Greater Noida,78.75,4716.0,1670,3.0
37226,Greater Noida,71.89,4424.0,1625,3.0
37227,Ghaziabad,17.03,4518.0,377,1.0
37228,Ghaziabad,28.8,2400.0,1200,2.0
37229,Ghaziabad,98.0,4900.0,2000,3.0
37231,Greater Noida,51.89,4850.0,1070,2.0
37232,Greater Noida,78.72,4700.0,1675,3.0
37233,Greater Noida,67.7,4299.0,1575,3.0
37234,Greater Noida,76.21,5293.0,1440,3.0
37236,Greater Noida,37.39,3800.0,984,2.0
37237,Noida,3.87,11000.0,3525,4.0
37239,Lucknow,49.0,4000.0,1225,2.0
37240,Ghaziabad,57.25,5000.0,1145,2.0
37241,Ghaziabad,2.06,8300.0,2485,3.0
37242,Greater Noida,53.12,4660.0,1140,2.0
37243,Greater Noida,47.31,3850.0,1229,2.0
37244,Greater Noida,78.75,4716.0,1670,3.0
37246,Greater Noida,71.89,4424.0,1625,3.0
37247,Ghaziabad,17.03,4518.0,377,1.0
37248,Ghaziabad,28.8,2400.0,1200,2.0
37249,Ghaziabad,98.0,4900.0,2000,3.0
37251,Greater Noida,51.89,4850.0,1070,2.0
37252,Greater Noida,78.72,4700.0,1675,3.0
37253,Greater Noida,67.7,4299.0,1575,3.0
37254,Greater Noida,76.21,5293.0,1440,3.0
37256,Greater Noida,37.39,3800.0,984,2.0
37257,Noida,3.87,11000.0,3525,4.0
37259,Lucknow,49.0,4000.0,1225,2.0
37260,Ghaziabad,57.25,5000.0,1145,2.0
37261,Ghaziabad,2.06,8300.0,2485,3.0
37262,Greater Noida,53.12,4660.0,1140,2.0
37263,Greater Noida,47.31,3850.0,1229,2.0
37264,Greater Noida,78.75,4716.0,1670,3.0
37266,Greater Noida,71.89,4424.0,1625,3.0
37267,Ghaziabad,17.03,4518.0,377,1.0
37268,Ghaziabad,28.8,2400.0,1200,2.0
37269,Ghaziabad,98.0,4900.0,2000,3.0
37271,Greater Noida,51.89,4850.0,1070,2.0
37272,Greater Noida,78.72,4700.0,1675,3.0
37273,Greater Noida,67.7,4299.0,1575,3.0
37274,Greater Noida,76.21,5293.0,1440,3.0
37276,Greater Noida,37.39,3800.0,984,2.0
